ZONE T="boundary0"
-4 -0.447945 
-4 -0.791849 
-4 -1 
-4 -0.493196 
-4 0.254439 
-4 0.217586 
-4 1 
-4 0.74055 
-4 0.292138 
-4 0.329837 
-4 -0.0717442 
-4 -0.261739 
-4 -0.583697 
-4 0.123584 
-4 0.0664364 
-4 0.405249 
-4 0.610606 
-4 -0.402694 
-4 -0.360922 
-4 0.545633 
-4 0.480661 
-4 -0.687773 
-4 -0.31915 
-4 -0.138036 
-4 -0.204328 
-4 -0.233033 
-4 0.180732 
-4 -0.895924 
-4 0.236012 
-4 0.870275 
-4 0.0950103 
-4 0.310987 
-4 -0.381808 
-4 0.513147 
-4 -0.10489 
-4 -0.00265389 
-4 0.675578 
-4 0.273289 
-4 0.367543 
-4 0.442955 
-4 0.578119 
-4 -0.171182 
-4 -0.340036 
-4 -0.290445 
-4 0.152158 
-4 -0.218681 
-4 0.199159 
-4 -0.470571 
-4 -0.538447 
-4 -0.42532 
-4 -0.635735 
-4 -0.739811 
-4 -0.247386 
ZONE T="boundary1"
-4 1 
-1.9102 1 
-2.12267 1 
0.948395 1 
4 1 
1.2708 1 
0.166764 1 
0.232742 1 
-0.180735 1 
-0.246954 1 
0.596139 1 
-0.04446 1 
-0.114515 1 
-3.73517 1 
1.16873 1 
1.05856 1 
2.13883 1 
-2.99248 1 
-2.82815 1 
-3.47034 1 
-3.35088 1 
3.77382 1 
3.54764 1 
2.58833 1 
1.76987 1 
2.82997 1 
3.07161 1 
3.30962 1 
-0.491138 1 
-0.586212 1 
0.298721 1 
-0.396064 1 
0.0255954 1 
-0.321509 1 
0.0961799 1 
0.482676 1 
-0.646524 1 
-1.1186 1 
-0.97303 1 
0.828998 1 
0.709602 1 
-1.50729 1 
-1.38325 1 
-1.63133 1 
1.57137 1 
-2.49948 1 
-2.66381 1 
-2.33514 1 
1.37286 1 
-3.23141 1 
-0.827462 1 
-0.706837 1 
-1.25092 1 
-2.01643 1 
0.199753 1 
-0.213844 1 
-0.0794877 1 
1.11365 1 
-2.91032 1 
-3.41061 1 
3.66073 1 
2.36358 1 
1.95435 1 
-0.538675 1 
-0.00943232 1 
-0.358786 1 
0.0608875 1 
0.390698 1 
0.539407 1 
-0.616368 1 
-3.86759 1 
-1.04581 1 
0.888697 1 
0.7693 1 
1.00348 1 
1.21976 1 
-1.44527 1 
3.88691 1 
-2.58164 1 
-2.74598 1 
3.42863 1 
-1.77077 1 
-2.41731 1 
-2.2289 1 
3.19062 1 
1.47212 1 
-3.11195 1 
-3.29115 1 
2.95079 1 
1.67062 1 
-3.60276 1 
0.131472 1 
0.265732 1 
-0.900246 1 
-0.147625 1 
-0.443601 1 
-0.67668 1 
-0.767149 1 
-0.284231 1 
1.32183 1 
0.65287 1 
-1.31709 1 
-1.18476 1 
-1.56931 1 
2.70915 1 
ZONE T="boundary2"
4 -0.411705 
4 -0.593788 
4 -0.472399 
4 -0.35101 
4 -0.265493 
4 1 
4 0.835393 
4 -0.10114 
4 0.00197059 
4 -0.796894 
4 -0.19453 
4 0.0535258 
4 -1 
4 0.105081 
4 0.233262 
4 0.27599 
4 0.566322 
4 0.670787 
4 0.190535 
4 0.147808 
4 0.368924 
4 0.415391 
4 0.461858 
4 0.322457 
4 -0.533093 
4 -0.308252 
4 0.917697 
4 -0.230011 
4 -0.147835 
4 -0.0495847 
4 -0.442052 
4 -0.381358 
4 -0.695341 
4 -0.898447 
4 0.0793035 
4 0.254626 
4 0.618555 
4 0.75309 
4 0.169172 
4 0.126445 
4 0.438624 
4 0.51409 
4 0.299223 
4 0.211899 
4 0.34569 
4 0.392157 
4 0.0277482 
ZONE T="boundary3"
-4 -1 
-2.87403 -1 
0.180275 -1 
-0.630702 -1 
1.42233 -1 
1.4988 -1 
-1.29681 -1 
-1.16506 -1 
-0.0522561 -1 
-1.03331 -1 
-0.931693 -1 
3.49104 -1 
3.74552 -1 
0.896081 -1 
0.785006 -1 
0.67393 -1 
0.546663 -1 
1.65174 -1 
-2.72604 -1 
-0.107686 -1 
1.82235 -1 
-0.393456 -1 
2.20865 -1 
2.31649 -1 
-0.730388 -1 
-1.40721 -1 
-1.51761 -1 
2.80565 -1 
-2.14412 -1 
3.27728 -1 
-1.93612 -1 
-3.1268 -1 
-3.37956 -1 
-3.68978 -1 
0.0642282 -1 
0.125282 -1 
0.235267 -1 
0.419396 -1 
0.2813 -1 
0.327332 -1 
0.00317385 -1 
-0.174718 -1 
-0.317603 -1 
-0.241749 -1 
1.23736 -1 
-0.512079 -1 
4 -1 
1.01248 -1 
1.12887 -1 
1.34586 -1 
-0.830073 -1 
-1.72813 -1 
-1.62287 -1 
2.42433 -1 
3.06352 -1 
1.99297 -1 
-2.57804 -1 
-3.53467 -1 
2.10081 -1 
-2.36108 -1 
1.46056 -1 
-1.23093 -1 
-0.982503 -1 
3.61828 -1 
0.840544 -1 
0.610297 -1 
1.57527 -1 
2.26257 -1 
-0.680545 -1 
-1.35201 -1 
-1.46241 -1 
3.38416 -1 
-3.25318 -1 
-3.84489 -1 
0.0947549 -1 
0.207771 -1 
0.304316 -1 
0.373364 -1 
-0.0245411 -1 
-0.141202 -1 
-0.0799711 -1 
-0.279676 -1 
0.48303 -1 
-0.571391 -1 
0.729468 -1 
-0.452768 -1 
0.954279 -1 
3.87276 -1 
1.07067 -1 
1.29161 -1 
1.18312 -1 
-0.880883 -1 
-1.09919 -1 
-1.6755 -1 
1.38409 -1 
2.61499 -1 
2.93459 -1 
3.1704 -1 
1.90766 -1 
1.73704 -1 
-2.04012 -1 
-3.00042 -1 
-2.80004 -1 
-1.83213 -1 
-3.61223 -1 
-3.45712 -1 
0.258283 -1 
0.152778 -1 
0.0337009 -1 
-0.208233 -1 
-0.35553 -1 
-0.78023 -1 
-2.2526 -1 
2.04689 -1 
2.15473 -1 
2.37041 -1 
-1.57024 -1 
-2.46956 -1 
-2.65204 -1 
ZONE T="boundary4"
-0.0207925 0.531497 
0.640348 0.00481658 
0.643091 -0.00805549 
-0.633176 0.0368317 
-0.634235 0.0125013 
0.00734672 0.529534 
0.0351975 0.526077 
-0.575351 0.215515 
0.646552 -0.0339469 
-0.630373 0.0614028 
-0.133559 0.524811 
-0.625836 0.0861577 
-0.593969 0.179122 
-0.602159 0.160573 
-0.585065 0.197339 
-0.611679 0.135826 
-0.565033 0.233353 
-0.105431 0.528609 
-0.0772306 0.531006 
0.0902131 0.514542 
0.117126 0.506451 
0.0629169 0.521074 
0.319123 0.383372 
0.342827 0.361535 
-0.555405 0.248884 
-0.512607 0.307366 
-0.545317 0.264124 
-0.479602 0.343869 
-0.496477 0.325944 
-0.459355 0.36363 
-0.41631 0.400372 
-0.370193 0.433178 
-0.346072 0.44803 
-0.321289 0.461803 
-0.393612 0.417285 
-0.243465 0.496256 
-0.269929 0.485957 
-0.216507 0.505336 
-0.189176 0.51314 
-0.161483 0.519647 
-0.438223 0.382491 
-0.0489561 0.531978 
0.294803 0.404403 
0.270515 0.423787 
0.48425 0.220637 
0.506821 0.198839 
0.460902 0.243664 
0.414152 0.290984 
0.43771 0.267063 
0.1437 0.496753 
0.220954 0.457891 
0.195644 0.472473 
0.169851 0.485446 
0.24593 0.441632 
0.529239 0.177077 
0.636956 0.0175009 
0.628189 0.0424788 
0.616882 0.0667444 
0.549764 0.156311 
0.569433 0.134783 
-0.295897 0.474456 
0.603205 0.0901739 
0.587144 0.113047 
0.366833 0.338379 
0.390469 0.314894 
-0.537535 0.275209 
-0.529492 0.286106 
-0.615822 0.123471 
-0.61959 0.110997 
0.641803 -0.00160177 
-0.633922 0.0246759 
0.0212956 0.527995 
-0.631986 0.0491413 
0.645153 -0.0209569 
-0.62831 0.073818 
-0.598158 0.169889 
-0.580287 0.206469 
-0.589602 0.188272 
-0.607095 0.148268 
-0.0913456 0.529983 
0.103728 0.51069 
0.0766114 0.518001 
0.331049 0.372534 
-0.560275 0.241153 
-0.488129 0.334991 
-0.504637 0.316737 
-0.358215 0.440738 
-0.333758 0.455055 
-0.38199 0.425361 
-0.256756 0.491259 
-0.230039 0.500953 
-0.202887 0.509399 
-0.175368 0.516558 
-0.448893 0.373178 
-0.0630995 0.531672 
-0.0348712 0.53192 
-0.119518 0.526883 
-0.469589 0.353863 
-0.405054 0.408954 
-0.147552 0.522398 
0.282763 0.414225 
0.495521 0.209723 
0.472536 0.23211 
0.425932 0.279025 
0.307057 0.393997 
0.049092 0.523769 
0.130484 0.501795 
0.2084 0.465358 
0.182841 0.479145 
0.258331 0.432859 
0.518062 0.18799 
0.632887 0.0301002 
0.638733 0.0111804 
0.55973 0.145666 
-0.282979 0.480355 
-0.427365 0.391552 
0.539579 0.16677 
0.156858 0.491289 
0.610302 0.0786105 
-0.308664 0.468273 
-0.00670983 0.530703 
0.23355 0.449927 
0.578463 0.124057 
0.378683 0.326669 
0.354885 0.350014 
0.449284 0.255342 
-0.550419 0.256543 
-0.533546 0.280681 
-0.570264 0.224476 
-0.613797 0.129664 
-0.622911 0.0986272 
-0.521173 0.296835 
-0.541459 0.26969 
-0.617754 0.11725 
0.622826 0.0547472 
0.5954 0.101769 
0.402325 0.302954 
ZONE T="boundary5"
0.452674 -0.367742 
-0.621004 -0.0811062 
-0.626927 -0.058373 
-0.592898 -0.145802 
-0.598635 -0.135449 
-0.565795 -0.185439 
